metric_name_1,metric_name_2,metric_name_3,metric_name_4,type,sub_type,value
Andaman & Nicobar,CSO,Direct,01-11-16,tat_sum,TAT Application to intw schedule,18
Andaman & Nicobar,BD,Direct,01-11-16,tat_sum,TAT Application to intw schedule,2
Andhra Pradesh,HR,Direct,01-12-16,tat_sum,TAT Application to intw schedule,1
Andhra Pradesh,Corporate,Direct,01-11-16,tat_sum,TAT Application to intw schedule,4
Andhra Pradesh,Corporate,Direct,01-12-16,tat_sum,TAT Application to intw schedule,2
Andhra Pradesh,IT,Direct,01-10-16,tat_sum,TAT Application to intw schedule,12
Andhra Pradesh,IT,Direct,01-11-16,tat_sum,TAT Application to intw schedule,5
Andhra Pradesh,IT,Direct,01-12-16,tat_sum,TAT Application to intw schedule,0
Andhra Pradesh,CSO,Vendor,01-10-16,tat_sum,TAT Application to intw schedule,20
Andhra Pradesh,CSO,Vendor,01-11-16,tat_sum,TAT Application to intw schedule,2
Andhra Pradesh,CSO,Vendor,01-12-16,tat_sum,TAT Application to intw schedule,7
Andhra Pradesh,CSO,Direct,01-10-16,tat_sum,TAT Application to intw schedule,9
Andhra Pradesh,CSO,Direct,01-11-16,tat_sum,TAT Application to intw schedule,9
Andhra Pradesh,CSO,Direct,01-12-16,tat_sum,TAT Application to intw schedule,18
Andhra Pradesh,CSO,Career Page,01-11-16,tat_sum,TAT Application to intw schedule,0
Andhra Pradesh,CSO,Career Page,01-12-16,tat_sum,TAT Application to intw schedule,0
Andhra Pradesh,RM,Vendor,01-12-16,tat_sum,TAT Application to intw schedule,2
Andhra Pradesh,RM,Direct,01-10-16,tat_sum,TAT Application to intw schedule,3
Andhra Pradesh,RM,Direct,01-11-16,tat_sum,TAT Application to intw schedule,9
Andhra Pradesh,RM,Direct,01-12-16,tat_sum,TAT Application to intw schedule,5
Andhra Pradesh,RM,Career Page,01-12-16,tat_sum,TAT Application to intw schedule,3
Andhra Pradesh,BD,Vendor,01-10-16,tat_sum,TAT Application to intw schedule,186
Andhra Pradesh,BD,Vendor,01-11-16,tat_sum,TAT Application to intw schedule,69
Andhra Pradesh,BD,Vendor,01-12-16,tat_sum,TAT Application to intw schedule,4
Andhra Pradesh,BD,Direct,01-10-16,tat_sum,TAT Application to intw schedule,244
Andhra Pradesh,BD,Direct,01-11-16,tat_sum,TAT Application to intw schedule,193
Andhra Pradesh,BD,Direct,01-12-16,tat_sum,TAT Application to intw schedule,65
Andhra Pradesh,BD,Career Page,01-11-16,tat_sum,TAT Application to intw schedule,24
Andhra Pradesh,BD,Career Page,01-12-16,tat_sum,TAT Application to intw schedule,10
Andhra Pradesh,BD,Employee Referral,01-10-16,tat_sum,TAT Application to intw schedule,98
Andhra Pradesh,BD,Employee Referral,01-11-16,tat_sum,TAT Application to intw schedule,44
Andhra Pradesh,BD,Employee Referral,01-12-16,tat_sum,TAT Application to intw schedule,26
Andhra Pradesh,Administration,Direct,01-10-16,tat_sum,TAT Application to intw schedule,310
Andhra Pradesh,Administration,Direct,01-11-16,tat_sum,TAT Application to intw schedule,7
Andhra Pradesh,Administration,Direct,01-12-16,tat_sum,TAT Application to intw schedule,0
Andhra Pradesh,Finance,Direct,01-11-16,tat_sum,TAT Application to intw schedule,3
Andhra Pradesh,Finance,Direct,01-12-16,tat_sum,TAT Application to intw schedule,2
Andhra Pradesh,Support,Direct,01-10-16,tat_sum,TAT Application to intw schedule,4
Andhra Pradesh,Support,Direct,01-11-16,tat_sum,TAT Application to intw schedule,0
Andhra Pradesh,Support,Direct,01-12-16,tat_sum,TAT Application to intw schedule,2
Andhra Pradesh,Credit,Direct,01-10-16,tat_sum,TAT Application to intw schedule,5
Andhra Pradesh,Credit,Direct,01-11-16,tat_sum,TAT Application to intw schedule,51
Andhra Pradesh,Credit,Direct,01-12-16,tat_sum,TAT Application to intw schedule,9
Andhra Pradesh,Others,Direct,01-10-16,tat_sum,TAT Application to intw schedule,0
Andhra Pradesh,Others,Direct,01-11-16,tat_sum,TAT Application to intw schedule,2
Andhra Pradesh,Others,Direct,01-12-16,tat_sum,TAT Application to intw schedule,0
Arunachal Pradesh,CSO,Direct,01-10-16,tat_sum,TAT Application to intw schedule,0
Arunachal Pradesh,CSO,Direct,01-11-16,tat_sum,TAT Application to intw schedule,6
Arunachal Pradesh,BD,Direct,01-10-16,tat_sum,TAT Application to intw schedule,3
Arunachal Pradesh,BD,Direct,01-11-16,tat_sum,TAT Application to intw schedule,1
Arunachal Pradesh,Administration,Direct,01-10-16,tat_sum,TAT Application to intw schedule,7
Arunachal Pradesh,Others,Direct,01-11-16,tat_sum,TAT Application to intw schedule,0
Arunachal Pradesh,Others,Direct,01-12-16,tat_sum,TAT Application to intw schedule,0
Assam,CSO,Direct,01-10-16,tat_sum,TAT Application to intw schedule,74
Assam,CSO,Direct,01-11-16,tat_sum,TAT Application to intw schedule,22
Assam,CSO,Direct,01-12-16,tat_sum,TAT Application to intw schedule,30
Assam,CSO,Career Page,01-12-16,tat_sum,TAT Application to intw schedule,1
Assam,RM,Vendor,01-10-16,tat_sum,TAT Application to intw schedule,9
Assam,RM,Direct,01-10-16,tat_sum,TAT Application to intw schedule,25
Assam,RM,Direct,01-11-16,tat_sum,TAT Application to intw schedule,4
Assam,RM,Direct,01-12-16,tat_sum,TAT Application to intw schedule,3
Assam,BD,Vendor,01-10-16,tat_sum,TAT Application to intw schedule,14
Assam,BD,Direct,01-10-16,tat_sum,TAT Application to intw schedule,119
Assam,BD,Direct,01-11-16,tat_sum,TAT Application to intw schedule,40
Assam,BD,Direct,01-12-16,tat_sum,TAT Application to intw schedule,133
Assam,Administration,Direct,01-10-16,tat_sum,TAT Application to intw schedule,9
Assam,Administration,Direct,01-11-16,tat_sum,TAT Application to intw schedule,8
Assam,Support,Direct,01-11-16,tat_sum,TAT Application to intw schedule,4
Assam,Credit,Direct,01-12-16,tat_sum,TAT Application to intw schedule,9
Bihar,Corporate,Direct,01-10-16,tat_sum,TAT Application to intw schedule,8
Bihar,Corporate,Direct,01-11-16,tat_sum,TAT Application to intw schedule,1
Bihar,IT,Direct,01-10-16,tat_sum,TAT Application to intw schedule,1
Bihar,IT,Direct,01-11-16,tat_sum,TAT Application to intw schedule,2
